,tweets,time
129,"That will be her story
She had the opportunity to be free of all the manipulation and bad parenting when Otto was removed but instead she became him and will repeat that mistake that’ll lead to her whole family death. That’ll be a damn good story I can’t wait to see #HOTD https://t.co/LiPLglCdwF",2022-09-22 04:36:24+00:00
130,How do they always get such perfect actors that you hate the character before they even speak 😭#AegonTargaryen #HouseOfTheDragonHBO #HouseOfTheDragon #hotd https://t.co/H0mDtOWPp7,2022-09-22 04:35:31+00:00
131,"Hey, a YT vid is coming soon based upon this blog post about #HOTD. If you can't wait, read it here! And that's the Bard's Truth! https://t.co/M83fnAHfh4",2022-09-22 04:33:41+00:00
132,this that damn tree from got and #hotd https://t.co/u94s8dO9vE,2022-09-22 04:33:01+00:00
133,Daemon ejerciendo su paternidad #HouseTargaryen #HouseOfTheDragonHBO #hotd https://t.co/13Cc6GybQA,2022-09-22 04:31:11+00:00
134,"This will forever be known to me as the 
""Battle of the Side Dicks"".   #TheGreenWedding #HouseOfTheDragonHBO #HOTD #HOTDSpoilers #HouseOfTheDragonEp5  #HouseOfTheDragon #HouseOfDragon #BattleOfTheSideDicks #GameOfThrones https://t.co/eY9k2dNQrg",2022-09-22 04:30:04+00:00
135,#HOTD 1x05 https://t.co/E3UUPOFbxz,2022-09-22 04:29:42+00:00
136,is anybody else noticing a pattern now with Alicents character? the continuation of green dresses? #HOTD,2022-09-22 04:27:58+00:00
137,The one thing that frustrates me w/ #HOTD is the time jumps. I need a grasp of how much time has passed. 😭,2022-09-22 04:20:37+00:00
138,"Choose ur loyalty 🐉🔥🔥🔥
#HOTD
#HouseOfTheDragon",2022-09-22 04:19:08+00:00
139,Sor Criston Cole emocionado demais. Hahaha #HouseOfTheDragonHBO #HOTD,2022-09-22 04:16:27+00:00
140,"Espero que façam uma versão clean e desenvolvam o Aegon II em #HOTD 

Gosto tanto dele e dos verdes",2022-09-22 04:16:02+00:00
141,"Them: So sorry for the loss of your wife.

DaeDae:

#DemDragons #DemThrones #DragonsYall #ThronesYall #HOTD #HouseOfTheDragon https://t.co/4aeIDvIubi",2022-09-22 04:15:34+00:00
142,"¿Cómo que Imagine dragons no es una banda que surgió de la serie de Game of Thrones, tipo RBD (los revolucionarios del pop)? 🤔

#HOTD",2022-09-22 04:10:50+00:00
143,"✳️ She Lights His Way ✳️

#Queen #AlicentHightower #Ser #CristonCole #HOTD #HouseHightower #WeLightTheWay #HouseOfTheDragonHBO #HouseOfTheDragon https://t.co/deKjszjT31",2022-09-22 04:10:17+00:00
144,just finished the latest #HOTD episode… https://t.co/9hYmMJDYNU,2022-09-22 04:07:05+00:00
